"","rep","budget","at","bb","extinct","act_dev","abs_act_dev","fin_yield","max_diff_yield","inac_ts"
"287",87,100,0.4,0.5,0,0.541,0.541,9357.09765625,0.113576367064739,10
"288",88,100,0.4,0.5,0,-0.586,0.586,9819,0.102063106796117,12
"289",89,100,0.4,0.5,0,-0.382,0.382,9729.5625,0.0566318926974665,11
"290",90,100,0.4,0.5,0,1.129,1.129,9116.109375,0.13476612695965,12
"291",91,100,0.4,0.5,0,0.796,0.796,9256.609375,0.15832209829636,7
"292",92,100,0.4,0.5,0,1.079,1.079,9146.9296875,0.243065955789852,6
"293",93,100,0.4,0.5,0,-0.342,0.342,9713.65625,0.0629926185412236,13
"294",94,100,0.4,0.5,1,-0.803,0.803,9914.6875,0.0983441153777672,0
"295",95,100,0.4,0.5,0,1.382,1.382,9026.11328125,0.19677478356298,6
"296",96,100,0.4,0.5,0,0.397,0.397,9409.8125,0.105085399980701,10
"297",97,100,0.4,0.5,0,0.678,0.678,9300.1953125,0.126523875024563,15
"298",98,100,0.4,0.5,0,0.263,0.263,9459.5,0.075253895161799,6
"299",99,100,0.4,0.5,0,0.256,0.256,9467.671875,0.123099740452354,4
"300",100,100,0.4,0.5,0,1.387,1.387,9014.34375,0.119846439059603,4
"301",1,100,0.4,1,0,0.427,0.427,9395.875,0.141498326930227,3
"302",2,100,0.4,1,0,1.447,1.447,8989.71875,0.163302113656499,9
"303",3,100,0.4,1,0,-0.263,0.263,9683.1875,0.104289215686275,11
"304",4,100,0.4,1,0,0.79,0.79,9248.9140625,0.11800216051344,4
"305",5,100,0.4,1,0,0.138,0.138,9506.3125,0.132876047104528,10
"306",6,100,0.4,1,0,0.463,0.463,9379.8125,0.13929275505175,9
"307",7,100,0.4,1,1,-0.955,0.955,9981,0.107181393118331,0
"308",8,100,0.4,1,0,0.698,0.698,9293.0625,0.217150039855295,4
"309",9,100,0.4,1,0,-0.511,0.511,9790.3125,0.0806282722513089,7
"310",10,100,0.4,1,0,-0.167,0.167,9639.9375,0.0834277085692714,16
"311",11,100,0.4,1,0,0.107,0.107,9536.1875,0.176123495053046,7
"312",12,100,0.4,1,0,1.1,1.1,9129.4765625,0.11665398516264,9
"313",13,100,0.4,1,0,-0.103,0.103,9615.546875,0.100577209533267,8
"314",14,100,0.4,1,0,0.875,0.875,9219.859375,0.171208493478672,8
"315",15,100,0.4,1,0,0.401,0.401,9414.90625,0.108079354152325,3
"316",16,100,0.4,1,0,-0.442,0.442,9757.65625,0.0966691248770895,5
"317",17,100,0.4,1,0,1.493,1.493,8968.609375,0.138625170112112,11
"318",18,100,0.4,1,1,-0.599,0.599,9824.75,0.0824526910788892,0
"319",19,100,0.4,1,0,0.016,0.016,9564.3125,0.146565254134975,8
"320",20,100,0.4,1,0,0.922,0.922,9192.46875,0.109869281045752,6
"321",21,100,0.4,1,1,-0.852,0.852,9936.375,0.108459357277883,0
"322",22,100,0.4,1,0,1.272,1.272,9057.5,0.149903806730375,8
"323",23,100,0.4,1,0,0.717,0.717,9271.46875,0.0952135872362326,10
"324",24,100,0.4,1,0,-0.571,0.571,9810.0625,0.0871757925072046,9
"325",25,100,0.4,1,0,0.297,0.297,9452.875,0.120599555652909,7
"326",26,100,0.4,1,0,-0.051,0.051,9589.21875,0.0757384498863923,9
"327",27,100,0.4,1,0,1.157,1.157,9106.6015625,0.105379507577003,6
"328",28,100,0.4,1,0,0.157,0.157,9510.2890625,0.0894594764266432,9
"329",29,100,0.4,1,0,-0.077,0.077,9605.375,0.136086441681468,11
"330",30,100,0.4,1,0,0.125,0.125,9521.7265625,0.118075088663324,10
"331",31,100,0.4,1,0,0.0840000000000001,0.0840000000000001,9535.5,0.106421795183654,4
"332",32,100,0.4,1,0,0.355,0.355,9421.1875,0.0953403207475691,6
"333",33,100,0.4,1,0,1.439,1.439,8991.21875,0.0976263779918562,6
"334",34,100,0.4,1,0,0.206,0.206,9485.65625,0.0498522420660414,12
"335",35,100,0.4,1,0,0.879,0.879,9211.421875,0.135918650918967,5
"336",36,100,0.4,1,0,0.563,0.563,9337.15625,0.130421197350331,8
"337",37,100,0.4,1,0,0.022,0.022,9564.2578125,0.0925242837821222,8
"338",38,100,0.4,1,0,0.317,0.317,9450.46875,0.147832333833083,10
"339",39,100,0.4,1,0,1.236,1.236,9075.3828125,0.151847867358562,7
"340",40,100,0.4,1,0,1.224,1.224,9085.4375,0.202631660327179,6
"341",41,100,0.4,1,0,-0.02,0.02,9580.421875,0.0778675687527407,9
"342",42,100,0.4,1,0,0.992,0.992,9174.1796875,0.195956635026987,10
"343",43,100,0.4,1,0,-0.139,0.139,9635.015625,0.113439218081857,9
