"","rep","budget","at","bb","extinct","act_dev","abs_act_dev","fin_yield","max_diff_yield","inac_ts","SumSqDev"
"214",14,1000,0.1,0.8,0,0.517,0.517,34301.890625,0.0513603750799176,0,7588106
"215",15,1000,0.1,0.8,0,-0.034,0.034,39790.25,0.0085127691537306,0.1,6849358
"216",16,1000,0.1,0.8,0,0.1515,0.1515,35389.265625,0.0583505154639175,0,8459163
"217",17,1000,0.1,0.8,1,-0.9685,0.9685,39713.375,0.0125187781672509,0,16670263
"218",18,1000,0.1,0.8,0,0.361,0.361,34708.71875,0.0758111480865225,0.05,8527820
"219",19,1000,0.1,0.8,0,-0.071,0.071,31406.28125,0.103382599420996,0.05,10606606
"220",20,1000,0.1,0.8,0,-0.4435,0.4435,30477.328125,0.108381614522982,0.05,11600091
"221",21,1000,0.1,0.8,0,0.054,0.054,35531.375,0.059075458871516,0,7487866
"222",22,1000,0.1,0.8,0,0.0285,0.0285,33744.53125,0.0585098717394437,0.05,6682118
"223",23,1000,0.1,0.8,1,-0.945,0.945,39631.625,0.0125439036628199,0,14916879
"224",24,1000,0.1,0.8,1,-0.959,0.959,39712.75,0.014021031547321,0,15160680
"225",25,1000,0.1,0.8,0,-0.6595,0.6595,36366.15625,0.0659208949260887,0,11103149
"226",26,1000,0.1,0.8,0,0.0800000000000001,0.0800000000000001,35546.75,0.0688098495212038,0,8085822
"227",27,1000,0.1,0.8,0,-0.3585,0.3585,39988,0.0015,0,8725065
"228",28,1000,0.1,0.8,0,-0.488,0.488,40000,0,0.05,7800870
"229",29,1000,0.1,0.8,0,-0.3215,0.3215,39982,0.002,0,6965455
"230",30,1000,0.1,0.8,0,-0.045,0.045,39761.25,0.0112781954887218,0.05,13224505
"231",31,1000,0.1,0.8,0,-0.28,0.28,40000,0,0,7343173
"232",32,1000,0.1,0.8,0,-0.4135,0.4135,32073.59375,0.0726807614175006,0,8330176
"233",33,1000,0.1,0.8,0,0.3125,0.3125,34553.5,0.0786109191430546,0,10524151
"234",34,1000,0.1,0.8,0,-0.421,0.421,31964.078125,0.121163636363636,0.05,8670341
"235",35,1000,0.1,0.8,0,0.3985,0.3985,33804.15625,0.0875299760191846,0,7188251
"236",36,1000,0.1,0.8,0,-0.2215,0.2215,32592.46875,0.0610349567220179,0,7428522
"237",37,1000,0.1,0.8,0,-0.654,0.654,37836.8125,0.0438709677419355,0,8979226
"238",38,1000,0.1,0.8,1,-0.9475,0.9475,39636,0.014543630892678,0,20036761
"239",39,1000,0.1,0.8,0,-0.3365,0.3365,34828.5,0.048585830299636,0,7921396
"240",40,1000,0.1,0.8,0,-0.5625,0.5625,36060.9375,0.0553750338478202,0.1,11161132
"241",41,1000,0.1,0.8,0,-0.1165,0.1165,39886,0.004004004004004,0,8671117
"242",42,1000,0.1,0.8,0,0.376,0.376,34456.03125,0.072463768115942,0,8413040
"243",43,1000,0.1,0.8,0,-0.078,0.078,39886,0.0035035035035035,0.15,9831753
"244",44,1000,0.1,0.8,0,-0.4105,0.4105,35527.46875,0.0709152542372881,0,6887533
"245",45,1000,0.1,0.8,0,-0.3455,0.3455,40000,0,0,8611601
"246",46,1000,0.1,0.8,0,-0.2815,0.2815,31761.3125,0.0724621125580687,0.05,8097711
"247",47,1000,0.1,0.8,1,-0.9895,0.9895,39982,0.0065,0,21960262
"248",48,1000,0.1,0.8,0,-0.684,0.684,37116.1875,0.0552865741952368,0.05,11554207
"249",49,1000,0.1,0.8,0,0.561,0.561,34153.53125,0.0849149444678757,0,9383462
"250",50,1000,0.1,0.8,0,-0.556,0.556,37126.25,0.0451227604512276,0.05,11085719
"251",51,1000,0.1,0.8,1,-0.9745,0.9745,39988,0.0025,0,15839337
"252",52,1000,0.1,0.8,0,0.4465,0.4465,33078.96875,0.0892198581560284,0.05,9778778
"253",53,1000,0.1,0.8,0,-0.7135,0.7135,36430.875,0.0571236559139785,0,11689769
"254",54,1000,0.1,0.8,0,-0.36,0.36,32706.484375,0.075795429495187,0,5724665
"255",55,1000,0.1,0.8,0,-0.3625,0.3625,34118.8125,0.0678110370265286,0,7325956
"256",56,1000,0.1,0.8,0,0.273,0.273,34886.25,0.0765907844212836,0,10445188
"257",57,1000,0.1,0.8,0,-0.00600000000000001,0.00600000000000001,34383.25,0.0872446162341248,0.05,7627209
"258",58,1000,0.1,0.8,0,-0.289,0.289,32847.1875,0.0845673635307782,0,7745732
"259",59,1000,0.1,0.8,1,-0.9675,0.9675,39928.5,0.004,0,19246248
"260",60,1000,0.1,0.8,0,0.668,0.668,34871.75,0.0700152207001522,0,10920844
"261",61,1000,0.1,0.8,0,-0.298,0.298,31558.703125,0.097787776527934,0,11203296
"262",62,1000,0.1,0.8,0,-0.2345,0.2345,31657.9375,0.0841748275730671,0,8652981
"263",63,1000,0.1,0.8,1,-0.9475,0.9475,39499,0.0163234555499749,0,15766618
"264",64,1000,0.1,0.8,0,0.529,0.529,34369.921875,0.0758438672037783,0,9158974
"265",65,1000,0.1,0.8,0,-0.4115,0.4115,33715.953125,0.0803763827036345,0.05,7932976
"266",66,1000,0.1,0.8,0,-0.385,0.385,35266.5,0.0740993449781659,0,7904567
"267",67,1000,0.1,0.8,0,-0.402,0.402,33105.671875,0.094891429393155,0,8047688
"268",68,1000,0.1,0.8,0,-0.4,0.4,33206.453125,0.0693599768317405,0,9466571
"269",69,1000,0.1,0.8,0,-0.5265,0.5265,36369.8125,0.0590514362057448,0,11440889
"270",70,1000,0.1,0.8,0,0.0475000000000001,0.0475000000000001,35544.3125,0.0699366662174909,0,7595453
"271",71,1000,0.1,0.8,0,0.1355,0.1355,36087.90625,0.0531492084877063,0,7762494
"272",72,1000,0.1,0.8,0,-0.327,0.327,32021.484375,0.0836954892851791,0,7576580
"273",73,1000,0.1,0.8,0,-0.3755,0.3755,31791.75,0.0978006197566322,0,8360900
"274",74,1000,0.1,0.8,0,-0.871,0.871,38045.875,0.0388274620725122,0,13474222
"275",75,1000,0.1,0.8,0,-0.295,0.295,39994,0.001,0,7067793
"276",76,1000,0.1,0.8,1,-0.9385,0.9385,39459.25,0.0133434038267875,0,17339715
